# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
16.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
32.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
48.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
64.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
80.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
96.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
112.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
128.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
144.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
160.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
176.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
192.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
208.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
224.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
240.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
