# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
20.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
40.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
60.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
80.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
100.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
120.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
140.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
160.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
180.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
200.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
220.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
